IB1FV01_1cm,IB1FV01_7cm,IB1FV01_11cm,timestamp
11.63,10.949,10.862,9/8/2021 0:00
11.567,10.949,10.799,9/8/2021 0:30
11.567,10.949,10.799,9/8/2021 1:00
11.505,10.949,10.799,9/8/2021 1:30
11.505,10.886,10.799,9/8/2021 2:00
11.442,10.886,10.799,9/8/2021 2:30
11.442,10.886,10.799,9/8/2021 3:00
11.442,10.886,10.799,9/8/2021 3:30
11.379,10.886,10.799,9/8/2021 4:00
11.379,10.823,10.799,9/8/2021 4:30
11.317,10.823,10.736,9/8/2021 5:00
11.317,10.823,10.736,9/8/2021 5:30
11.254,10.823,10.736,9/8/2021 6:00
11.254,10.823,10.736,9/8/2021 6:30
11.254,10.761,10.736,9/8/2021 7:00
11.254,10.761,10.736,9/8/2021 7:30
11.254,10.761,10.736,9/8/2021 8:00
11.254,10.761,10.736,9/8/2021 8:30
11.254,10.761,10.736,9/8/2021 9:00
11.317,10.823,10.736,9/8/2021 9:30
11.379,10.823,10.736,9/8/2021 10:00
11.442,10.823,10.736,9/8/2021 10:30
11.505,10.886,10.736,9/8/2021 11:00
11.567,10.886,10.799,9/8/2021 11:30
11.692,10.949,10.799,9/8/2021 12:00
11.88,11.011,10.862,9/8/2021 12:30
11.943,11.074,10.862,9/8/2021 13:00
12.005,11.074,10.862,9/8/2021 13:30
12.068,11.137,10.924,9/8/2021 14:00
12.131,11.137,10.924,9/8/2021 14:30
12.193,11.199,10.924,9/8/2021 15:00
12.256,11.199,10.924,9/8/2021 15:30
12.256,11.199,10.987,9/8/2021 16:00
12.318,11.262,10.987,9/8/2021 16:30
12.318,11.262,10.987,9/8/2021 17:00
12.381,11.262,10.987,9/8/2021 17:30
12.318,11.262,10.987,9/8/2021 18:00
12.381,11.262,10.987,9/8/2021 18:30
12.318,11.262,10.987,9/8/2021 19:00
12.318,11.262,11.049,9/8/2021 19:30
12.318,11.262,10.987,9/8/2021 20:00
12.318,11.262,10.987,9/8/2021 20:30
12.256,11.262,10.987,9/8/2021 21:00
12.256,11.262,10.987,9/8/2021 21:30
12.256,11.262,10.987,9/8/2021 22:00
12.256,11.262,10.987,9/8/2021 22:30
12.256,11.262,10.987,9/8/2021 23:00
12.193,11.262,10.987,9/8/2021 23:30
12.193,11.262,10.987,9/9/2021 0:00
12.193,11.262,10.987,9/9/2021 0:30
12.193,11.199,10.987,9/9/2021 1:00
12.131,11.199,10.987,9/9/2021 1:30
12.131,11.199,10.987,9/9/2021 2:00
12.131,11.199,10.987,9/9/2021 2:30
12.131,11.199,10.987,9/9/2021 3:00
