datetime,C_02.5cm,C_10cm,C_20cm,C_35cm,river_ft
10/24/2024 18:14,15.193,14.68,15.039,15.777,7.09
10/24/2024 18:29,15.319,14.743,15.039,15.777,7.08
10/24/2024 18:44,15.444,14.805,15.101,15.777,7.08
10/24/2024 18:59,15.632,14.868,15.101,15.777,7.08
10/24/2024 19:14,15.757,14.993,15.101,15.777,7.08
10/24/2024 19:29,15.945,15.056,15.164,15.777,7.09
10/24/2024 19:44,16.008,15.181,15.164,15.714,7.08
10/24/2024 19:59,16.008,15.244,15.227,15.714,7.08
10/24/2024 20:14,16.07,15.306,15.227,15.714,7.07
10/24/2024 20:29,16.07,15.369,15.29,15.714,7.07
10/24/2024 20:44,16.133,15.431,15.29,15.714,7.07
10/24/2024 20:59,16.133,15.494,15.352,15.714,7.07
10/24/2024 21:14,16.133,15.557,15.352,15.714,7.07
10/24/2024 21:29,16.133,15.619,15.415,15.714,7.07
10/24/2024 21:44,16.07,15.619,15.415,15.714,7.06
10/24/2024 21:59,16.008,15.619,15.478,15.714,7.07
10/24/2024 22:14,15.882,15.682,15.478,15.714,7.07
10/24/2024 22:29,15.82,15.682,15.478,15.714,7.07
10/24/2024 22:44,15.632,15.619,15.54,15.714,7.06
10/24/2024 22:59,15.381,15.619,15.54,15.714,7.06
10/24/2024 23:14,15.256,15.557,15.603,15.714,7.06
10/24/2024 23:29,15.068,15.557,15.603,15.714,7.07
10/24/2024 23:44,14.88,15.494,15.603,15.777,7.07
10/24/2024 23:59,14.755,15.431,15.603,15.777,7.06
10/25/2024 0:14,14.63,15.369,15.603,15.777,7.06
10/25/2024 0:29,14.567,15.306,15.603,15.777,7.06
10/25/2024 0:44,14.442,15.244,15.603,15.777,7.06
10/25/2024 0:59,14.379,15.181,15.603,15.777,7.07
10/25/2024 1:14,14.316,15.118,15.603,15.777,7.07
10/25/2024 1:29,14.191,15.056,15.603,15.777,7.07
10/25/2024 1:44,14.128,15.056,15.603,15.777,7.07
10/25/2024 1:59,14.066,14.993,15.54,15.839,7.07
10/25/2024 2:14,14.003,14.931,15.54,15.777,7.07
10/25/2024 2:29,13.94,14.868,15.54,15.839,7.07
10/25/2024 2:44,13.878,14.868,15.54,15.839,7.07
10/25/2024 2:59,13.815,14.805,15.478,15.839,7.07
10/25/2024 3:14,13.815,14.743,15.478,15.839,7.07
10/25/2024 3:29,13.753,14.743,15.478,15.839,7.08
10/25/2024 3:44,13.69,14.68,15.415,15.839,7.07
10/25/2024 3:59,13.69,14.68,15.415,15.839,7.07
10/25/2024 4:14,13.627,14.617,15.415,15.839,7.08
10/25/2024 4:29,13.627,14.555,15.415,15.839,7.08
10/25/2024 4:44,13.565,14.555,15.352,15.839,7.08
10/25/2024 4:59,13.502,14.492,15.352,15.839,7.08
10/25/2024 5:14,13.502,14.492,15.352,15.777,7.08
10/25/2024 5:29,13.502,14.43,15.29,15.777,7.08
10/25/2024 5:44,13.439,14.43,15.29,15.777,7.08
10/25/2024 5:59,13.439,14.43,15.29,15.777,7.08
10/25/2024 6:14,13.377,14.367,15.29,15.777,7.08
10/25/2024 6:29,13.377,14.367,15.227,15.777,7.08
10/25/2024 6:44,13.314,14.304,15.227,15.777,7.08
10/25/2024 6:59,13.314,14.304,15.227,15.777,7.09
10/25/2024 7:14,13.251,14.304,15.164,15.777,7.09
10/25/2024 7:29,13.251,14.242,15.164,15.777,7.08
10/25/2024 7:44,13.251,14.242,15.164,15.777,7.08
10/25/2024 7:59,13.189,14.179,15.101,15.777,7.09
10/25/2024 8:14,13.189,14.179,15.101,15.777,7.09
10/25/2024 8:29,13.189,14.179,15.101,15.777,7.09
10/25/2024 8:44,13.126,14.116,15.101,15.777,7.09
10/25/2024 8:59,13.126,14.116,15.101,15.714,7.09
10/25/2024 9:14,13.126,14.116,15.039,15.714,7.09
